course_title,course_type,partnership,skill_level,topic,url
Machine Learning in Production,Courses,,Intermediate,"Data Engineering,Deep Learning,MLOps",
Quantization in Depth,Short Courses,Hugging Face,Intermediate,Compression and Quantization,
Prompt Engineering for Vision Models,Short Courses,Comet,Beginner,"Computer Vision,Diffusion Models,Fine-Tuning,Generative Models,Prompt Engineering",
Getting Started With Mistral,Short Courses,Mistral AI,Beginner,"Embeddings,Generative Models,Prompt Engineering,RAG",
Quantization Fundamentals with Hugging Face,Short Courses,Hugging Face,Beginner,"Generative Models,Compression and Quantization,MultiModal,Transformers",
Preprocessing Unstructured Data for LLM Applications,Short Courses,Unstructured,Beginner,"Computer Vision,Document Processing,GenAI Applications,RAG,Vector Databases",
Red Teaming LLM Applications,Short Courses,Giskard,Beginner,"AI Safety,Chatbots,Generative Models,LLMOps,Prompt Engineering",
JavaScript RAG Web Apps with LlamaIndex,Short Courses,LlamaIndex,Beginner,"AI Frameworks,GenAI Applications,Prompt Engineering,RAG,Search and Retrieval",
Efficiently Serving LLMs,Short Courses,Predibase,Intermediate,"Fine-Tuning,Generative Models,LLMOps,LLM Serving,Transformers",
Knowledge Graphs for RAG,Short Courses,Neo4j,Intermediate,"Embeddings,GenAI Applications,RAG,Search and Retrieval,Vector Databases",
Open Source Models with Hugging Face,Short Courses,Hugging Face,Beginner,"Chatbots,Generative Models,MultiModal,NLP,Prompt Engineering,Transformers",
Prompt Engineering with Llama 2 & 3,Short Courses,Meta,Beginner,"AI Safety,GenAI Applications,Generative Models,Prompt Engineering,Transformers",
Serverless LLM apps with Amazon Bedrock,Short Courses,AWS,Intermediate,"Event-Driven AI,GenAI Applications,LLMOps",
Building Applications with Vector Databases,Short Courses,Pinecone,Beginner,"Anomaly Detection,Embeddings,MultiModal,Vector Databases",
Automated Testing for LLMOps,Short Courses,CircleCI,Intermediate,"Evaluation and Monitoring,LLMOps,MLOps,Prompt Engineering",
LLMOps,Short Courses,Google Cloud,Beginner,"AI Safety,Chatbots,Data Processing,Evaluation and Monitoring,Fine-Tuning,LLMOps",
Build LLM Apps with LangChain.js,Short Courses,LangChain,Intermediate,"AI Frameworks,Chatbots,GenAI Applications,Prompt Engineering,RAG,Search and Retrieval",
Advanced Retrieval for AI with Chroma,Short Courses,Chroma,Intermediate,"Embeddings,Fine-Tuning,GenAI Applications,RAG,Search and Retrieval",
Reinforcement Learning from Human Feedback,Short Courses,Google Cloud,Intermediate,"Fine-Tuning,Generative Models,LLMOps,Transformers",
Building and Evaluating Advanced RAG Applications,Short Courses,"TruEra,LlamaIndex",Beginner,"AI Frameworks,Evaluation and Monitoring,GenAI Applications,LLMOps,RAG,Search and Retrieval",
Quality and Safety for LLM Applications,Short Courses,WhyLabs,Beginner,"AI Safety,Embeddings,Evaluation and Monitoring,GenAI Applications,Vector Databases",
Vector Databases: from Embeddings to Applications,Short Courses,Weaviate,Intermediate,"Embeddings,GenAI Applications,RAG,Search and Retrieval,Vector Databases",
"Functions, Tools and Agents with LangChain",Short Courses,LangChain,Intermediate,"AI Frameworks,Agents,Chatbots,Generative Models,Prompt Engineering,RAG",
Generative AI for Everyone,Courses,,Beginner,"Fine-Tuning,GenAI Applications,Generative Models,Prompt Engineering",
Pair Programming with a Large Language Model,Short Courses,Google,Beginner,"AI in Software Development,GenAI Applications,Prompt Engineering",
Understanding and Applying Text Embeddings,Short Courses,Google Cloud,Beginner,"Embeddings,GenAI Applications,NLP,RAG,Search and Retrieval",
How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,Short Courses,Microsoft,Beginner,"AI Frameworks,Chatbots,GenAI Applications,Prompt Engineering,RAG",
Finetuning Large Language Models,Short Courses,Lamini,Intermediate,"Deep Learning,Fine-Tuning,Transformers",
Large Language Models with Semantic Search,Short Courses,Cohere,Beginner,"Embeddings,NLP,RAG,Search and Retrieval,Vector Databases",
